id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
227,Modern,1926-1927,The Fleischmann Diaries,http://fleischmanndiaries.ucc.ie/,yes,yes,yes,ENG,Diary,not provided,not provided,Róisín O’Brien,University College Cork,Scholars; general public,yes,yes,yes,yes,yes,yes,no,no,no,no,ENG,no,yes,no,no,yes,Open Access and Open Source (some data),no,no,no,no,yes,yes,Keyed,yes,yes,no,Estate of Aloys Fleischmann,Estate of Aloys Fleischmann,not provided,no,not provided,yes,http://ride.i-d-e.de/issues/issue-2/fleischmann-diaries/,yes,not provided,21.11115/0000-000B-D162-A
228,Long Nineteenth Century,1600-1900,Deutsches Textarchiv (DTA),http://www.deutschestextarchiv.de/,no,yes,yes,GER,Book,2007,2016,Martin Grötschel; Wolfgang Klein; Alexander Geyken,Berlin-Brandenburgische Akademie der Wissenschaften,Experts; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,no,yes,yes,yes,Open Access and Open Source (some data),yes,yes,yes,yes,yes,yes,Keyed,no,no,no,Various,Various,DFG,not provided,Perl Catalyst framework,yes,no,no,not provided,21.11115/0000-000B-D163-9
229,Middle Ages,9th,Project Tarsian: First Corinthians in Vaticanus Arabicus 13,http://tarsian.vital-it.ch/,yes,yes,yes,ARA,Manuscript,2013,2016,Claire Clivaz,SIB Swiss Institute of Bioinformatics,not provided,yes,yes,yes,yes,yes,yes,yes,no,no,FRE,ENG,no,no,no,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,yes,no,Biblioteca Apostolica Vaticana,not provided,Swiss National Science Foundation,not provided,EVT,yes,no,no,not provided,21.11115/0000-000B-D164-8
230,Modern,1915-1916,Letters of 1916,http://dh.tcd.ie/letters1916/,yes,yes,yes,ENG,Letter,2013,present,Susan Schreibman,Maynooth University,Scholars; students; general public,yes,yes,yes,yes,no,yes,yes,no,no,no,ENG,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,Keyed,no,yes,no,Various,Ireland,Maynooth University; European Commission; Trinity College Dublin; Digital Repository of Ireland; Digital Scholarly Editions Initial Training Network,not provided,Wordpress; Omeka; Scripto; Ruby; Python; Apache; MySQL; MediaWiki; Mono; PHP; Passenger; Custom,no,no,yes,not provided,21.11115/0000-000B-D165-7
231,Antiquity,700 BC-500 AD,Bibliotheca Iuris Antiqui (BIA),http://www.ittig.cnr.it,yes,yes,no,LAT; GRC; ITA; NDS; FRE; SPA; ENG,Print edition,1992,present,Nicola Palazzolo,Istituto di Teoria e Tecniche dell’Informazione Giuridica (ITTIG-CNR),Scholars,yes,no,partly,yes,yes,no,no,no,no,no,ITA; ENG,yes,yes,yes,yes,yes,Open Access and Open Source (all data),no,yes,yes,yes,yes,no,Keyed,yes,yes,no,Istituto di Teoria e Tecniche dell’Informazione Giuridica (ITTIG-CNR),not provided,"Ministero dell’Istruzione, dell’Università e della Ricerca (MIUR)",not provided,MySQL,yes,no,no,not provided,21.11115/0000-000B-D166-6
232,Early Modern; Long Nineteenth Century,1634-1830,The Wandering Jew's Chronicle,http://wjc.bodleian.ox.ac.uk,yes,yes,yes,ENG,Printed broadside ballad; Printed chapbook,2015,present,Giles Bergel,University of Oxford,Book historians; ballad scholars; folk scholars; cultural historians,yes,yes,yes,yes,yes,yes,yes,yes,no,no,ENG,no,no,no,no,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,yes,no,British Library; Bodleian Library; Cambridge University Library; Brown University Library; National Library of Scotland; Harry Ransom Humanities Research Center; Cornell University Library; Massachusetts Historical Society; Pepys Library,London; Newcastle; unknown,British Academy,"£8,000.00",Versioning Machine; TEI-XML; JQuery,yes,no,no,not provided,21.11115/0000-000B-D167-5
233,Antiquity,43-410,Roman Inscriptions of Britain,https://romaninscriptionsofbritain.org/,yes,yes,yes,ENG,Tablet; Rock face; Stele; Wall; Threshold slab,2014,present,Scott Vanderbilt,not provided,Scholars; students; general public,partly,partly,yes,yes,no,yes,yes,no,no,ENG,ENG,yes,yes,yes,yes,yes,Open Access and Open Source (some data),yes,no,no,yes,yes,yes,Keyed,yes,no,no,Centre for the Study of Ancient Documents,CSAD Oxford,not provided,not provided,Epidoc; PHP; Apache Solr; SQLite3,yes,no,no,not provided,21.11115/0000-000B-D168-4
234,Early Modern,1675; 1679; 1680,"Teutsche Academie der Bau-, Bild- und Mahlerey-Künste, Joachim von Sandrart, Nürnberg 1675/1679/1680: Wissenschaftlich kommentierte Online-Edition",http://ta.sandrart.net/de/,yes,yes,yes,GER,Book,2007,2012,Thomas Kirchner; Alessandro Nova,Goethe Universität Frankfurt am Main; Kunsthistorisches Institut in Florenz - Max-Planck-Institut; Städel Museum; Historisches Museum Frankfurt am Main,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,yes,FRE; ITA,GER; ENG,no,yes,yes,yes,yes,Open Access and Open Source (some data),no,yes,no,no,yes,yes,Keyed,no,no,no,Herzog August Bibliothek Wolfenbüttel,Städel Museum,DFG,not provided,MySQL; PHP; ConedaKOR,yes,no,yes,not provided,21.11115/0000-000B-D169-3
235,Early Modern,1680-1710,ABaC:us - Austrian Baroque Corpus,https://acdh.oeaw.ac.at/abacus/,yes,yes,yes,GER,Printed book,2015,present,Claudia Resch,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars (literary studies; linguistic studies; religious studies; history; art history); students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,yes,yes,yes,yes,yes,Open Access and Open Source (some data),no,yes,no,yes,yes,yes,Keyed,no,yes,yes,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Vienna; Salzburg; Nuremberg,"City of Vienna, Anniversary fund of the Österreichische Nationalbank",not provided,CMDI; TEI P5; TreeTagger; STTS; tokenEditor; Oxygen XML editor; corpus_shell,yes,no,no,not provided,21.11115/0000-000B-D16A-2
236,Long Nineteenth Century,1859-1872,Darwin Online: Online Variorum of Darwin’s Origin of Species,http://darwin-online.org.uk/Variorum/,no,yes,yes,ENG,Printed book,2008,2012,Barbara Bordalejo,University of Birmingham; University of Saskatchewan,Scholars; students; general public,yes,yes,partly,yes,no,partly,no,no,no,no,ENG,no,no,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,yes,no,not provided,United Kingdom,not provided,not provided,Collate; XHTML; TEI-XML; VBase,yes,no,yes,not provided,21.11115/0000-000B-D16B-1
237,Antiquity,15th-12th BC,Dāmos Database of Mycenaean at Oslo,https://www2.hf.uio.no/damos/,yes,yes,no,GMY,Tablet,2013,present,Federico Aurora,University of Oslo,not provided,partly,yes,yes,no,no,partly,no,no,no,no,ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,no,yes,Keyed,no,no,no,Heraklion Archaeological Museum; Archaeological Museum of Chania; National Archaeological Museum of Athens; Archaeological Museum of Thebes; Archaeological Museum of Nafplio; Archaeological Museum of Tiryns; Ashmolean Museum,Greece,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D16C-0
238,Modern,20th,Van Nu en Straks brieven,http://www.vnsbrieven.org/VNS/,yes,yes,yes,DUT,Letter,2007,2011,Edward Vanhoutte,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal- en Letterkunde),Scholars; students; general public,yes,yes,yes,yes,no,yes,yes,yes,no,no,DUT; ENG,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,Keyed,no,yes,no,Letterenhuis,not provided,not provided,not provided,eXist-DB; XSLT; XQuery,yes,no,yes,not provided,21.11115/0000-000B-D16D-F
239,Modern,20th,Streuvels en zijn uitgevers – brieven,http://edities.kantl.be/streuvels/,yes,yes,yes,DUT; GER,Letter,not provided,2016,Edward Vanhoutte,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal- en Letterkunde),Scholars; students; general public,yes,yes,yes,yes,no,yes,yes,yes,no,no,DUT; ENG,no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,Keyed,no,yes,no,Letterenhuis,not provided,not provided,not provided,eXist-DB; XSLT; XQuery,yes,no,no,not provided,21.11115/0000-000B-D16E-E
240,Long Nineteenth Century; Modern,1880-1926,Briefwechsel Sauer-Seuffert,http://sauer-seuffert.onb.ac.at/,yes,yes,yes,GER,Letter,not provided,not provided,Bernhard Fetz; Hans Harald Müller,Österreichische Nationalbibliothek; University of Hamburg,not provided,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,yes,yes,yes,no,Open Access and Open Source (some data),yes,no,no,yes,no,no,Keyed,yes,yes,yes,Staatsarchiv Würzburg; Österreichische Nationalbibliothek; Deutsches Literaturarchiv Marbach,Germany; Austria,DFG; Austrian Science Fund (FWF),not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D16F-D
241,Middle Ages,9th,"Ursus from Benevento, De nomine",http://www1.unipa.it/paolo.monella/ursus/transcription.html,yes,yes,yes,LAT,Codex,2017,present,Paolo Monella,Università degli Studi di Palermo,not provided,yes,yes,yes,yes,yes,no,no,no,no,no,ENG,yes,no,no,no,yes,Open Access and Open Source (some data),no,no,no,no,yes,yes,Keyed,no,partly,no,Biblioteca Casanatense,Benevento,Progetti di Rilevante Interesse Nazionale (PRIN),not provided,TEI-XML; XSLT; JavaScipt; CSV; Python,no,no,no,not provided,21.11115/0000-000B-D170-A
242,Long Nineteenth Century; Modern,1846-1917,William F. Cody Archive,http://codyarchive.org/,yes,yes,yes,ENG; GER,Letter; Book; Newspaper; Photograph; Scrapbook,2012,present,Jeremy Johnston; Frank Christianson; Douglas Seefeldt; Katherine Walter,Buffalo Bill Center of the West; Brigham Young University; Ball State University; University of Nebraska,Scholars; general public,yes,yes,yes,yes,yes,partly,yes,no,no,ENG,ENG,yes,yes,yes,yes,yes,Open Access and Open Source (some data),yes,yes,no,yes,partly,yes,Keyed; OCR,no,no,no,Various,Various,National Endowment for the Humanities; Geraldine W. & Robert J. Dellenback Foundation,not provided,TEI-XML; Dublin Core; VRA Core; XSL; CSS; Apache Solr; Wordpress,yes,no,no,not provided,21.11115/0000-000B-D171-9
243,Middle Ages; Early Modern,15th,Johannes Tinctoris: Complete Theoretical Works,http://earlymusictheory.org/Tinctoris/,yes,yes,yes,LAT,Manuscript,2011,not provided,Ronald Woodley,Birmingham Conservatoire of Birmingham City University,Scholars; performers; teachers; students,partly,yes,yes,yes,yes,partly,no,no,no,ENG,ENG,no,no,no,no,yes,Open Access and Open Source (some data),no,no,no,yes,no,no,Keyed,no,yes,no,Various,Italy,AHRC; Birmingham Conservatoire of Birmingham City University,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D172-8
244,Antiquity,2nd,Digital Athenaeus,http://digitalathenaeus.org/,yes,yes,yes,GRC,Print edition,not provided,present,Monica Berti,University of Leipzig,not provided,yes,partly,partly,yes,yes,no,no,no,no,no,ENG,no,yes,yes,yes,yes,Open Access and Open Source (all data),no,yes,partly,yes,no,yes,Keyed; OCR,yes,partly,no,not provided,not provided,Humboldt Foundation,not provided,TEI-XML; XSLT; CSS,no,no,no,not provided,21.11115/0000-000B-D173-7
245,Middle Ages,13th,Magistri Guillelmi Autissiodorensis Summa de officiis ecclesiasticis,http://guillelmus.uni-koeln.de/,yes,yes,yes,LAT,Manuscript,2000,2007; 2013,Franz Fischer,Cologne Center for eHumanities; ; Institut für Dokumentologie und Editorik,Scholars,yes,yes,yes,partly,no,yes,yes,no,no,no,GER,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,Keyed,yes,yes,no,"Various (France, Belgium, Austria , Italy, Germany, Sweden)",Paris (France),"DFG-Graduiertenkolleg Vormoderne Konzepte von Zeit und Vergangenheit (Universität zu Köln, 2001-2004)",not provided,exist-db,yes,no,yes,not provided,21.11115/0000-000B-D174-6
246,Long Nineteenth Century; Modern,20th,Musil Online,http://musilonline.at/,yes,yes,yes,GER,Printed book,not provided,present,Anke Bosse; Artur Boerderl; Walter Fanta,Robert Musil-Institut für Literaturforschung - Kärntner Literaturarchiv at Alpen-Adria-Universität Klagenfurt,not provided,yes,no,no,no,no,yes,yes,no,no,no,GER,no,no,no,no,no,yes,no,no,no,yes,no,no,Keyed; OCR,yes,yes,no,not provided,Austria,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D175-5
247,Middle Ages,6th-8th,A Comprehensive Edition of Tocharian Manuscripts,http://www.univie.ac.at/tocharian/,yes,yes,yes,XTO,Manuscript,2011,2017,Bernhard Koller,University of Vienna,not provided,yes,yes,yes,no,no,yes,yes,no,no,ENG,ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,yes,no,Various,Various,Austrian Science Fund (FWF),not provided,Perl 5; HTML; CSS; JavaScript,yes,no,no,not provided,21.11115/0000-000B-D176-4
248,Long Nineteenth Century,1800-1830,Briefe und Texte aus dem Intellektuellen Berlin um 1800,http://www.berliner-intellektuelle.eu/,yes,yes,yes,GER; FRE; LAT,Letter; Manuscript; Lecture; Report; Dissertation; Review,not provided,not provided,Anne Baillot,Humboldt-Universität zu Berlin,Scientists; scholars,yes,yes,yes,yes,yes,yes,yes,no,yes,no,GER; ENG; FRE,yes,yes,yes,yes,yes,Open Access and Open Source (some data),no,no,no,yes,yes,yes,Keyed,no,yes,no,Berlin City Museum Foundation; Staatsbibliothek Berlin Preußischer Kulturbesitz; Oberlausitzische Bibliothek der Wissenschaften Görlitz,Various,DFG,not provided,TEI-XML; HTML; CSS; JavaScript,yes,no,no,not provided,21.11115/0000-000B-D177-3
249,Early Modern,17th,Biblioteca Digital del Pensamiento Novohispano,http://www.bdpn.unam.mx/,yes,yes,yes,SPA,Printed book; Manuscript,not provided,not provided,Ernesto Priani Saisó,Facultad de Filosofía y Letras Universidad Nacional Autónoma de México (UNAM),Students; researchers; academics,yes,yes,yes,yes,no,no,no,no,no,no,SPA; ENG,yes,yes,no,no,yes,yes,no,no,no,yes,no,yes,Keyed,no,no,no,Various,Various,Programa de Apoyo para la Innovación y el Mejoramiento de la Enseñanza (PAPIME); Consejo Nacional de Ciencia y Tecnología (CONACyT),not provided,TEI-XML; Wordpress,no,no,no,not provided,21.11115/0000-000B-D178-2
250,Long Nineteenth Century; Modern,1902-1953,Bliss-Tyler Correspondence,http://www.doaks.org/resources/bliss-tyler-correspondence/,yes,yes,yes,ENG,Letter,not provided,not provided,not provided,Dumbarton Oaks,not provided,partly,yes,yes,no,no,no,no,no,no,no,ENG,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,Keyed,yes,yes,no,Harvard University Archives,Various,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D179-1
251,Early Modern; Long Nineteenth Century,1766-1859,edition humboldt digital,https://edition-humboldt.de/,yes,yes,yes,GER; FRE; ENG,Diary; Notebook; Letter; Manuscript; Print,2015,2032,Ottmar Ette,Berlin-Brandenburgische Akademie der Wissenschaften,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,yes,no,partly,GER; ENG,yes,yes,yes,yes,yes,Open Access and Open Source (some data),yes,yes,no,yes,yes,yes,Keyed,no,yes,yes,Various,Various,"Das Akademienvorhaben „Alexander von Humboldt auf Reisen – Wissenschaft aus der Bewegung“ ist Teil des von Bund und Ländern geförderten Akademienprogramms, das der Erhaltung, Sicherung und Vergegenwärtigung unseres kulturellen Erbes dient. Koordiniert wird das Programm von der Union der Deutschen Akademien der Wissenschaften.",not provided,TEI-XML; OAI-PMH; ediarum; eXist-DB,yes,10.18716/ride.a.13.4,yes,yes,21.11115/0000-000B-D17A-0
252,Middle Ages,1446-1497,"Vespasiano da Bisticci, Lettere",http://vespasianodabisticciletters.unibo.it,yes,yes,yes,ITA; LAT,Archival document; Manuscript; Printed Book,2013,present,Francesca Tomasi,Università degli Studi di Bologna,Scholars; students; general public,yes,yes,yes,yes,no,yes,no,no,no,no,ITA,no,yes,no,no,yes,Open Access and Open Source (some data),yes,no,no,no,yes,yes,Keyed,yes,yes,no,Università degli Studi di Bologna,"Biblioteca Universitaria di Bologna; Archivio di Stato - Firenze; Firenze, Biblioteca Medicea Laurenziana; Biblioteca Nazionale - Firenze; Biblioteca Comunale di Forlì; Biblioteca Apostolica Vaticana – Roma",not provided,not provided,HTML; TEI-XML; RDF; OWL,yes,no,yes,not provided,21.11115/0000-000B-D17B-F
253,Early Modern,1711-1722,Digitale Edition der Briefe Erdmuthe Benignas von Reuß-Ebersdorf (1670-1732),http://erdmuthe.thulb.uni-jena.de,yes,yes,yes,GER,Letter; manuscript,2015,2016,Julia A. Schmidt-Funke; Martin Prell,Friedrich-Schiller-Universität Jena; Thüringer Universitäts- und Landesbibliothek; Landesarchiv Thüringen - Staatsarchiv Greiz,Scholars; students,yes,yes,yes,yes,yes,yes,yes,yes,no,no,GER,yes,yes,no,yes,partly,Open Access and Open Source (some data),yes,no,no,yes,partly,yes,Keyed,yes,yes,yes,Landesarchiv Thüringen - Staatsarchiv Greiz,South-East-Thuringia,Friedrich-Schiller-Universität Jena,not provided,Java; XML; Typo3; MySQL,yes,no,no,not provided,21.11115/0000-000B-D17C-E
254,Modern,1901-1935,Jane Addams Digital Edition,https://digital.janeaddams.ramapo.edu/,yes,yes,yes,ENG,Letter; speech; article; interview,2015,2026,Cathy Moran Hajo,Ramapo College of New Jersey,Scholars; students; teachers; general public; genealogists,partly,yes,yes,no,no,yes,yes,no,no,no,ENG,no,yes,yes,yes,yes,Open Access and Open Source (all data),yes,no,no,yes,yes,yes,Keyed,yes,no,no,Swarthmore College Peace Collection; over 1000 other collections,Chicago,National Historical Publications and Records Commission (USA); National Endowment for the Humanities (USA); Ramapo College of New Jersey; Gladys Krieble Delmas Foundation; Ruth McCormick Tankersley Foundation;,"$50,000",MySQL; Omeka; PHP,yes,no,no,not provided,21.11115/0000-000B-D17D-D
255,Early Modern,1662-1666,Les Pensées de Blaise Pascal,http://www.penseesdepascal.fr,yes,yes,yes,FRE,Manuscript,not provided,not provided,Dominique Descotes; Gilles Proust,Université Blaise Pascal,General public; students; teachers; researchers,partly,partly,partly,no,no,yes,yes,no,no,no,FRE,no,no,yes,no,no,yes,no,no,no,no,no,yes,Keyed,no,yes,no,Bibliothèque Nationale de France,France,not provided,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D17E-C
256,Modern,1930-1931,Ödön von Horváth: Historisch-kritische Ausgabe – Digitale Edition,http://gams.uni-graz.at/horvath-edition,yes,yes,yes,GER,Manuscript; Typescript,2015,present,Klaus Kastberger,Franz-Nabl-Institut Universität Graz; Zentrum für Informationsmodellierung Universität Graz,Scholars; students; general public,yes,yes,partly,yes,yes,no,no,no,no,no,GER,no,no,no,no,yes,Open Access and Open Source (all data),no,no,no,yes,partly,no,Keyed,yes,yes,no,Österreichische Nationalbibliothek; Franz Nabl Institut für Literaturforschung Universität Graz,Unknown,Austrian Science Fund (FWF),"€20,000",Fedora 3.x; Cirilo; GAMS; XML; TEI; XSLT; HTML; CSS3; R,yes,no,no,not provided,21.11115/0000-000B-D17F-B
